Iter, Time, Residual(RHO), CL, CD
    316,    1.22920744,  6.25194290e-02,    0.0792067922,    0.0258820761
    317,    1.23309377,  6.21071472e-02,    0.0792068788,    0.0258820816
    318,    1.23698009,  6.16936868e-02,    0.0792069590,    0.0258820867
    319,    1.24086642,  6.12791152e-02,    0.0792070332,    0.0258820915
    320,    1.24475274,  6.08635021e-02,    0.0792071019,    0.0258820959
    321,    1.24863907,  6.04469193e-02,    0.0792071653,    0.0258821000
    322,    1.25252540,  6.00294406e-02,    0.0792072240,    0.0258821039
    323,    1.25641172,  5.96111412e-02,    0.0792072783,    0.0258821075
    324,    1.26029805,  5.91920979e-02,    0.0792073283,    0.0258821108
    325,    1.26418438,  5.87723887e-02,    0.0792073746,    0.0258821138
    326,    1.26807070,  5.83520926e-02,    0.0792074172,    0.0258821167
    327,    1.27195703,  5.79312894e-02,    0.0792074565,    0.0258821193
    328,    1.27584335,  5.75100598e-02,    0.0792074928,    0.0258821218
    329,    1.27972968,  5.70884847e-02,    0.0792075262,    0.0258821240
    330,    1.28361601,  5.66666455e-02,    0.0792075570,    0.0258821261
    331,    1.28750233,  5.62446238e-02,    0.0792075853,    0.0258821281
    332,    1.29138866,  5.58225012e-02,    0.0792076114,    0.0258821299
    333,    1.29527499,  5.54003592e-02,    0.0792076354,    0.0258821315
    334,    1.29916131,  5.49782831e-02,    0.0792076575,    0.0258821330
    335,    1.30304764,  5.45563647e-02,    0.0792076777,    0.0258821344
    336,    1.30693397,  5.41346684e-02,    0.0792076964,    0.0258821357
    337,    1.31082029,  5.37132740e-02,    0.0792077135,    0.0258821369
    338,    1.31470662,  5.32922606e-02,    0.0792077292,    0.0258821380
    339,    1.31859294,  5.28717062e-02,    0.0792077436,    0.0258821391
    340,    1.32247927,  5.24516876e-02,    0.0792077568,    0.0258821400
    341,    1.32636560,  5.20322850e-02,    0.0792077689,    0.0258821409
    342,    1.33025192,  5.16135741e-02,    0.0792077800,    0.0258821417
    343,    1.33413825,  5.11956299e-02,    0.0792077902,    0.0258821424
    344,    1.33802458,  5.07785265e-02,    0.0792077995,    0.0258821430
    345,    1.34191090,  5.03623370e-02,    0.0792078081,    0.0258821437
    346,    1.34579723,  4.99471332e-02,    0.0792078159,    0.0258821442
    347,    1.34968355,  4.95329862e-02,    0.0792078230,    0.0258821447
    348,    1.35356988,  4.91199656e-02,    0.0792078295,    0.0258821452
    349,    1.35745621,  4.87081402e-02,    0.0792078355,    0.0258821457
    350,    1.36134253,  4.82975772e-02,    0.0792078410,    0.0258821461
    351,    1.36522886,  4.78883429e-02,    0.0792078459,    0.0258821464
    352,    1.36911519,  4.74805023e-02,    0.0792078505,    0.0258821468
    353,    1.37300151,  4.70741193e-02,    0.0792078546,    0.0258821471
    354,    1.37688784,  4.66692566e-02,    0.0792078584,    0.0258821473
    355,    1.38077417,  4.62659754e-02,    0.0792078619,    0.0258821476
    356,    1.38466049,  4.58643362e-02,    0.0792078650,    0.0258821478
    357,    1.38854682,  4.54643981e-02,    0.0792078679,    0.0258821481
    358,    1.39243314,  4.50662189e-02,    0.0792078705,    0.0258821482
    359,    1.39631947,  4.46698556e-02,    0.0792078729,    0.0258821484
    360,    1.40020580,  4.42753637e-02,    0.0792078750,    0.0258821486
    361,    1.40409212,  4.38827979e-02,    0.0792078770,    0.0258821487
    362,    1.40797845,  4.34922116e-02,    0.0792078788,    0.0258821489
    363,    1.41186478,  4.31036573e-02,    0.0792078804,    0.0258821490
    364,    1.41575110,  4.27171864e-02,    0.0792078819,    0.0258821491
    365,    1.41963743,  4.23328360e-02,    0.0792078833,    0.0258821492
    366,    1.42352375,  4.19506647e-02,    0.0792078845,    0.0258821493
    367,    1.42741008,  4.15707258e-02,    0.0792078856,    0.0258821494
    368,    1.43129641,  4.11930666e-02,    0.0792078866,    0.0258821495
    369,    1.43518273,  4.08177335e-02,    0.0792078875,    0.0258821495
